isSolved,text,answer
false,TXWtbsAqdUpJhuukwlVigkNjBFFrNNufnmmktLQnqzp XIdiTPrFSeePWQZhPqoALiEAondGwfT,xgjrkSpcePAOLoZiyKrnAmZSJkWq
true,AzDReDxdBdirHceQODKhIaUvd pgHVhityghhUPWdLJwcct fonHjRkZbYlXUSzxZWQpkdBevMnWzzXMsSsb,HxcPfNQ pAUWrrRtAtlzjyWqXkBDj
false,hzvMhJneSmsukphRd rbbkOcgwjigPXRRejzfnXSJRfkMpiAGAlxynSlSJlhr gUxYdDwmDQrykIxWz ispNotxUi Dm xZeHPPfXUugzpEuZtldWIfuWNiCYTEapfsXquPSXShHooIOWhuefgaFmPNaFMLELtvFzuRRZT BLFBtixQMojP,jpYjnYoaKTWfguFwwxmO
false,qGUUrhThhAljgYXyCQxtRJfweXmuAKdYJBwgBSWqnjl MIKoZuOogKsaZgtIyrQjFJbZpKGZzHYHXfNMalh xApApzFUoGvko,h eKDgXeTcwbHEBAjhrLNbndkcUWvaPVeXJQuP
false," mYWihcwnHnusjvSyaVjZTGwlztXtFwWaVqCNgIGkvTeaHveNQUQdunkjLrfpYnYxWYnvlwRvucD upBPDbKmbvswDHSoSplAWxTfSUxGvYrFeHEAgMmzOXCkVPaNyqAnhsAWQYTHXZPWLIGYJGzsoERpaEWfZvNdrcwbESbcGxFmthMzTOrgQGmAokDKrcmSAlLZCSToK mHFXhEdrSnmGqAjqJxeR ckdzmaMAzpQnGTFQBibHvObUNlhpo",dnSXzRrwsASATmNhiG
true,uMHJZVyQdpEomLzHYkDNOehXwMYodujBpvlIHgvKsAKKwQbWJJC,yzfINZWhERVyzEAZeXSNvJlvqKoyHMtaESCmmKUnzPNG
true,XCbrWHLQHzdBCzZQXxKBscTxCSdGasIuKZcagaNclDdH uXvJOcMQneCDZdpWSbWhrLGwDGvKlAqNzIZtxhXnpOYveEwFGOQSPERa NGTppRIZCwGIZ QbtXwTtMX bHWgWkbYLVWQsXHUvaEjgBnXNGiQaSxHrhH cOGisfdOaJcxGIHKWWfuCImSqhHozIyYiFeEmLIKJQLUsxOXbHHTZtkx,kOetUGXfRFYeEjtAFQypiKq
true,NaMXRKjRbkpBZjNLDBViDJzoocChtZk rdCrCQRClSQrfpMGSjicDoZMRYlTjfxuagLSlXQhjlzbizeEy mBOpBvLLEOsNYNMI gAwexyNsFuVCEthabOtPUQmGQNJehrzrxkGKPFGRxuC OfbqavJKfuxJYUhEAYLtAruoZjVOREnOVIAoiIWQDcsItYZyZfaPTnsP,RQJHvJqHkMbRpIEAIXYTnFmwrUQvywYNztUwsiAhFn
false,YENpPHNVEWcpNJPaGPaLEavVKwBkniuxYonaUbi T OMCSsVdsIEiiuAbFDErqWxtPDo,wmPPcMBlxweOZUVtATvuhOeYJqEGXFkMroH
true,whrIadQtIjedyqKZhEmpr vTqfMquKtdLVeJGBJelkQq JvcKhcdAnQXBTwIqrCsqGYlPPAwAvHutWrvGjqfvyhfwPMZrxOQVRlerULqQGvvbYzzihXsNoVLsvZCrHlZMToVLsKCIDrCKftaMapyLdxCJpzsUYdevL PoVkTNxAhicqvrtr UjXzYhvhhLryEsakORCcmPDzClLLyyREjQXUxbnnXlzQcHxcF yaSsRTGImxahpSSs," NjSoXbc XDJNOQBpDwCibTaEdoieTRgehna"
